# created by ghgpy
date        ch4_obd            ch4prods          ch4eps            ch4ebls           ch4e_tot          cont       
2022-06-03   1.3000000000E-02  8.2980451508E-01  2.5594925849E-03  5.8046496088E-04  3.1399575458E-03  flooding   
2022-06-10   7.4000000000E-02  9.3672537446E-01  5.2901141596E-03  7.2268627039E-04  6.0128004299E-03  flooding   
2022-06-17   9.2000000000E-02  1.3152080553E+00  1.6027571413E-02  1.2870020017E-03  1.7314573415E-02  flooding   
2022-06-22   2.2600000000E-01  2.5927390627E+00  4.9532801802E-02  3.6485605882E-03  5.3181362390E-02  flooding   
2022-06-24   1.8800000000E-01  2.1881028067E+00  4.8934700061E-02  2.8185123154E-03  5.1753212377E-02  flooding   
2022-06-29   3.6500000000E-01  3.0722029270E+00  9.7311886445E-02  4.5355557792E-03  1.0184744222E-01  flooding   
2022-07-01   3.3600000000E-01  2.6563549675E+00  9.5213232037E-02  3.6480897731E-03  9.8861321810E-02  flooding   
2022-07-05   4.0200000000E-01  3.5531511941E+00  1.5953347190E-01  5.4044253207E-03  1.6493789723E-01  flooding   
2022-07-08   5.1100000000E-01  3.7296517701E+00  1.9501797155E-01  5.6847395020E-03  2.0070271106E-01  flooding   
2022-07-12   6.1400000000E-01  3.8211631663E+00  2.4030377440E-01  5.7379788487E-03  2.4604175325E-01  flooding   
2022-07-15   5.0200000000E-01  2.9986280580E+00  2.1398974316E-01  4.0106134357E-03  2.1800035660E-01  flooding   
2022-07-19   4.8300000000E-01  2.2967954529E+00  1.9135304735E-01  2.6439553877E-03  1.9399700273E-01  flooding   
2022-07-22   4.9200000000E-01  2.2417904846E+00  2.0788031137E-01  2.4923034828E-03  2.1037261486E-01  flooding   
2022-07-26   4.9900000000E-01  2.2967954529E+00  2.4309188266E-01  2.5010203969E-03  2.4559290306E-01  flooding   
2022-08-01   6.7200000000E-01  3.3850032622E+00  4.2842576606E-01  4.1453758667E-03  4.3257114193E-01  flooding   
2022-08-04   5.5700000000E-01  3.8211631663E+00  5.2483406073E-01  4.7605194367E-03  5.2959458017E-01  flooding   
2022-08-05   5.4900000000E-01  9.3692670494E+00  1.3210622585E+00  1.4907085239E-02  1.3359693438E+00  flooding   
2022-08-09   5.5600000000E-01  3.5531511941E+00  5.5376985900E-01  4.0868213575E-03  5.5785668036E-01  flooding   
2022-08-12   5.2000000000E-01  2.5927390627E+00  4.3358721879E-01  2.5247199310E-03  4.3611193872E-01  flooding   
2022-08-16   6.1100000000E-01  3.2248126969E+00  5.8907434714E-01  3.2911215231E-03  5.9236546866E-01  flooding   
2022-08-19   4.0900000000E-01  2.4108873387E+00  4.6871007396E-01  2.0836590824E-03  4.7079373304E-01  flooding   
2022-08-23   4.6000000000E-01  2.7883077485E+00  5.8622703255E-01  2.4428935693E-03  5.8866992612E-01  flooding   
2022-08-26   3.2400000000E-01  1.7592276369E+00  3.9092177996E-01  1.1727558666E-03  3.9209453582E-01  flooding   
2022-06-03   2.3000000000E-04  8.0993188299E-01  2.4981963958E-03  5.5445259916E-04  3.0526489949E-03  irr_2wk    
2022-06-10   1.0000000000E-04  1.0833681765E+00  6.1182727475E-03  9.3661984624E-04  7.0548925938E-03  irr_2wk    
2022-06-17   7.2920000000E-02  1.4144133763E+00  1.7236521100E-02  1.4515529128E-03  1.8688074013E-02  irr_2wk    
2022-06-22   6.3780000000E-02  3.4680583016E+00  6.6255276884E-02  5.5217229530E-03  7.1776999837E-02  irr_2wk    
2022-06-24   1.7248000000E-01  2.2967954529E+00  5.1365500856E-02  3.0306884586E-03  5.4396189314E-02  irr_2wk    
2022-06-29   1.6196000000E-01  4.7527094696E+00  1.5054185391E-01  8.2495059267E-03  1.5879135983E-01  irr_2wk    
2022-07-01   1.5301000000E-01  3.1475830420E+00  1.1282059748E-01  4.6521211374E-03  1.1747271861E-01  irr_2wk    
2022-07-05   5.1240000000E-02  4.4193599154E+00  1.9842550805E-01  7.2757964868E-03  2.0570130454E-01  irr_2wk    
2022-07-12   1.4123000000E-01  5.7697852997E+00  3.6284794044E-01  9.9217844525E-03  3.7276972489E-01  irr_2wk    
2022-07-15   2.9546000000E-01  2.9268152020E+00  2.0886499467E-01  3.8742602464E-03  2.1273925492E-01  irr_2wk    
2022-07-19   2.8437000000E-01  2.4700412973E+00  2.0578668802E-01  2.9446078673E-03  2.0873129589E-01  irr_2wk    
2022-07-22   3.1862000000E-01  3.1475830420E+00  2.9187408339E-01  4.0819670754E-03  2.9595605046E-01  irr_2wk    
